t 0.02, x 18.26352, y 0, z 9.848078, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.108312, x 19.08648, y -2.40228, z 9.664084, scale_x 0.5, scale_y 0.5, scale_z 0.5, stimulusOn True
t 1.112766, x 19.08648, y -2.40228, z 9.664084, scale_x 0.3, scale_y 0.3, scale_z 0.3, stimulusOn True
t 1.116475, x 19.08648, y -2.40228, z 9.664084, scale_x 0.3, scale_y 0.3, scale_z 0.3, stimulusOn True
t 1.120472, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.124635, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.128378, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.132608, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.13661, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.140253, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.144402, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.148523, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.15258, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.156188, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.160644, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.16425, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.168782, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.172538, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.176641, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.180324, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.184453, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.188211, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.192764, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.196392, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.200635, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.204475, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.208639, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.212423, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.216532, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.220349, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.224617, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.228482, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.232617, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.236384, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.240675, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.244177, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.248586, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.252427, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.256423, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.26053, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.264471, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.268649, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.272501, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.276574, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.280528, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.284428, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.288545, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.29237, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.296655, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.300388, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.304702, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
t 1.30834, x 19.08648, y -2.40228, z 9.664084, scale_x 0, scale_y 0, scale_z 0, stimulusOn True
