t 8.815905, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.819946, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.823947, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.827741, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.831778, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.835723, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.839923, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.844053, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.84788, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.851886, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.855952, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.859929, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.86391, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.86781, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.871778, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.875998, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.879936, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.884012, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.887733, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.892123, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.895854, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.899742, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.903836, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.907738, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.911739, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.915983, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.92, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.923804, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.927816, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.931768, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.935963, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.940244, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.943875, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.947948, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.951931, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.955831, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.959821, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 8.963914, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
