t 1.276261, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.280248, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.284444, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.288166, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.292451, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.296275, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.300228, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.304168, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.308682, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.312359, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.316503, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.320526, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.32527, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.328451, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.332621, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.336476, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.340261, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.344362, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.348355, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.352202, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
