t 3.762918, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.771358, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.77938, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.787735, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.795368, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.803756, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.811644, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.838373, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.846012, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.849729, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.853728, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.860325, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.868034, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.876355, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.884334, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.894181, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.90213, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.9489, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.958237, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.965968, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.969689, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.973723, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.977609, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.981688, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.988583, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.997121, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.004759, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.014079, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.022397, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.030135, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.039204, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.050272, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.058131, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.065778, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.073858, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.082026, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 4.090196, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
