t 0.8466517, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8505791, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8545436, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8586931, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.862576, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8666369, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8706423, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.874573, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.878679, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8825588, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8866096, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8904587, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8945463, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8986102, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.902588, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9071746, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9115655, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9144018, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9186099, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9394407, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9426453, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9468142, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9507494, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9547238, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.958725, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9628029, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9666663, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9707088, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9746656, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9785988, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9826319, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9866006, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9907541, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9944488, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9987305, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.002692, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.00663, x -1.087815, y -3.66191, z 49.85386, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.010527, x -1.087815, y -3.66191, z 49.85386, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.014544, x -1.087815, y -3.66191, z 49.85386, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.018643, x -1.087815, y -3.66191, z 49.85386, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
