t, stimulusOn
2.086144, 2021-06-09T17:17:48.1794810+08:00, False
2.090423, 2021-06-09T17:17:48.1837860+08:00, False
2.094733, 2021-06-09T17:17:48.1880610+08:00, False
2.098193, 2021-06-09T17:17:48.1915340+08:00, False
2.102342, 2021-06-09T17:17:48.1959520+08:00, False
2.110499, 2021-06-09T17:17:48.2038620+08:00, False
2.114256, 2021-06-09T17:17:48.2075750+08:00, False
2.118241, 2021-06-09T17:17:48.2115260+08:00, False
2.122232, 2021-06-09T17:17:48.2159040+08:00, False
2.1271, 2021-06-09T17:17:48.2204150+08:00, False
2.134192, 2021-06-09T17:17:48.2275410+08:00, False
2.138348, 2021-06-09T17:17:48.2316660+08:00, False
2.142059, 2021-06-09T17:17:48.2356260+08:00, False
2.146437, 2021-06-09T17:17:48.2397620+08:00, False
2.150261, 2021-06-09T17:17:48.2435800+08:00, False
2.158627, 2021-06-09T17:17:48.2520040+08:00, False
2.162129, 2021-06-09T17:17:48.2556920+08:00, False
2.166292, 2021-06-09T17:17:48.2595930+08:00, False
2.170337, 2021-06-09T17:17:48.2636650+08:00, False
2.174584, 2021-06-09T17:17:48.2679110+08:00, False
2.178272, 2021-06-09T17:17:48.2715970+08:00, False
2.182269, 2021-06-09T17:17:48.2758500+08:00, False
2.18638, 2021-06-09T17:17:48.2797710+08:00, False
2.194261, 2021-06-09T17:17:48.2876180+08:00, False
2.198185, 2021-06-09T17:17:48.2915010+08:00, False
2.202322, 2021-06-09T17:17:48.2959380+08:00, False
2.206862, 2021-06-09T17:17:48.3001870+08:00, False
2.214433, 2021-06-09T17:17:48.3139950+08:00, False
2.226337, 2021-06-09T17:17:48.3199730+08:00, False
2.230022, 2021-06-09T17:17:48.3233380+08:00, False
2.234231, 2021-06-09T17:17:48.3275520+08:00, False
2.238261, 2021-06-09T17:17:48.3315810+08:00, False
2.242077, 2021-06-09T17:17:48.3356580+08:00, False
2.246209, 2021-06-09T17:17:48.3395290+08:00, False
2.250266, 2021-06-09T17:17:48.3435700+08:00, False
2.254178, 2021-06-09T17:17:48.3474700+08:00, False
2.258193, 2021-06-09T17:17:48.3515130+08:00, False
2.262227, 2021-06-09T17:17:48.3558370+08:00, False
2.266563, 2021-06-09T17:17:48.3598520+08:00, False
