t 24.61972, x -12.61366, y 5.39996, z 48.08052, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.62394, x -12.61366, y 5.39996, z 48.08052, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.62795, x -12.61366, y 5.39996, z 48.08052, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.63184, x -12.31971, y 5.39996, z 48.15667, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.63581, x -12.31971, y 5.39996, z 48.15667, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.63976, x -12.27768, y 5.39996, z 48.1674, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.64402, x -12.23565, y 5.399961, z 48.1781, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.64775, x -12.23565, y 5.399961, z 48.1781, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.65191, x -12.10947, y 5.39996, z 48.20997, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.65604, x -11.98322, y 5.39996, z 48.2415, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.65988, x -11.98322, y 5.39996, z 48.2415, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.66374, x -11.899, y 5.39996, z 48.26235, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.66763, x -11.899, y 5.39996, z 48.26235, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.67193, x -11.899, y 5.39996, z 48.26235, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.676, x -11.60396, y 5.39996, z 48.33413, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.67992, x -11.60396, y 5.39996, z 48.33413, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.68375, x -11.60396, y 5.39996, z 48.33413, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.68798, x -11.4763, y 5.443336, z 48.35974, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.69193, x -11.4763, y 5.443336, z 48.35974, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.69589, x -11.34965, y 5.443336, z 48.38962, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.69996, x -11.22293, y 5.443336, z 48.41917, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.70391, x -11.22293, y 5.443336, z 48.41917, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.7078, x -11.09613, y 5.443336, z 48.44838, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.71188, x -11.09613, y 5.443336, z 48.44838, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.71586, x -11.09613, y 5.443336, z 48.44838, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.71979, x -10.96925, y 5.443336, z 48.47727, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.724, x -10.96925, y 5.443336, z 48.47727, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.72789, x -10.96925, y 5.443336, z 48.47727, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.73196, x -10.62953, y 5.486708, z 48.54801, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.73592, x -10.62953, y 5.486708, z 48.54801, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.73999, x -10.62953, y 5.486708, z 48.54801, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.74395, x -10.5024, y 5.486708, z 48.57567, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.74777, x -10.5024, y 5.486708, z 48.57567, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.75174, x -10.5024, y 5.486708, z 48.57567, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.75605, x -10.4176, y 5.486708, z 48.59393, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.7599, x -10.4176, y 5.486708, z 48.59393, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.76365, x -10.28935, y 5.530076, z 48.61633, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.76784, x -10.16105, y 5.57344, z 48.63836, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.77168, x -10.16105, y 5.57344, z 48.63836, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.77602, x -10.03368, y 5.57344, z 48.66479, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.77989, x -10.03368, y 5.57344, z 48.66479, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.78368, x -10.03368, y 5.57344, z 48.66479, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.78801, x -9.906244, y 5.573439, z 48.6909, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.79193, x -9.906244, y 5.573439, z 48.6909, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.79592, x -9.906244, y 5.573439, z 48.6909, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.79993, x -9.566079, y 5.57344, z 48.75887, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.80385, x -9.566079, y 5.57344, z 48.75887, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.80803, x -9.566079, y 5.57344, z 48.75887, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.81196, x -9.395821, y 5.573439, z 48.79196, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.81577, x -9.395821, y 5.573439, z 48.79196, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.81987, x -9.268052, y 5.57344, z 48.81639, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.82402, x -9.140221, y 5.57344, z 48.84049, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.8279, x -9.140221, y 5.57344, z 48.84049, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
