t 1.131528, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.13561, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.139627, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.143557, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.147346, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.151401, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.155371, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.159585, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.163571, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.167463, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.17142, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.175692, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.179585, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.183589, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.188138, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.191632, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.195813, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.199587, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.203549, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.207643, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.211374, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.215387, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.219582, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.22352, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.22752, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.231617, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
