t, stimulusOn
9.347636, False
9.351803, False
9.355882, False
9.359684, False
9.363772, False
9.368207, False
9.376218, False
9.381907, True
9.388076, True
9.391703, True
9.395944, True
9.399768, True
9.403767, True
9.408584, True
9.412897, True
9.42026, True
9.428131, True
9.431726, True
9.435831, True
9.440331, True
9.446312, True
9.45173, True
9.457062, True
9.463336, True
9.46865, True
9.476004, True
9.480454, True
9.486362, False
9.491951, False
9.497681, False
9.503771, False
9.507994, False
9.515099, False
9.520317, False
9.527838, False
9.532372, False
9.537187, False
9.544017, False
9.548321, False
9.55414, False
9.560126, False
9.56483, False
9.571859, False
9.581557, True
9.588138, True
9.59173, True
9.595806, True
9.599945, True
9.604216, True
9.610394, True
9.616283, True
9.624625, True
9.632038, True
9.635727, True
9.639801, True
9.645618, True
9.652134, True
9.655754, True
9.660699, True
9.668268, True
9.67629, True
9.679934, False
9.684943, False
9.690391, False
9.696253, False
9.701233, False
9.707935, False
9.713458, False
9.720214, False
9.725336, False
9.731802, False
9.735735, False
9.740332, False
9.746314, False
9.752136, False
9.757112, False
9.763994, False
9.768986, False
9.776021, False
9.781763, False
9.787829, False
9.791978, False
9.797966, False
9.80382, False
9.807847, False
9.813964, False
9.820258, False
9.825694, False
9.832221, False
9.836784, False
9.842162, False
9.848203, True
9.853996, True
9.860214, True
9.865414, True
9.872268, True
9.87989, True
9.883812, True
9.888118, True
9.894328, True
9.899708, True
9.904925, True
9.909502, True
9.916483, True
9.923936, True
9.927938, True
9.93349, True
9.93987, True
9.945312, True
9.950212, False
9.955957, False
9.961823, False
9.968316, False
9.976321, False
9.980089, False
9.984925, False
9.990386, False
9.99626, False
10.00114, False
10.00649, False
10.01258, False
10.01989, False
10.02525, False
10.03175, False
10.03595, False
10.04185, False
10.04804, False
10.06494, False
10.07238, False
10.08017, False
10.08371, False
10.08784, False
10.09173, False
10.09579, False
10.09983, False
10.10376, False
10.1081, False
10.11184, False
10.11584, False
10.1201, False
10.12613, False
10.13186, False
10.13683, False
10.14139, False
10.14791, False
10.1531, False
10.15807, False
10.16464, False
10.1719, False
10.17632, False
10.18283, False
10.18804, False
10.19383, False
10.19995, False
10.20405, False
10.21073, False
10.21632, False
10.22204, False
10.22803, False
10.23266, False
10.23839, False
10.24387, False
10.24906, False
10.25606, False
10.25989, False
10.26556, False
10.27193, False
10.27669, False
10.28386, False
10.28842, False
10.29337, False
10.29977, False
10.30392, False
10.30921, False
10.3163, False
10.32156, False
10.32804, False
10.33342, False
10.33825, False
10.34386, False
10.34944, False
10.35589, False
10.36392, False
10.37227, False
10.38789, False
10.39176, False
10.39574, False
10.39998, False
10.40385, False
10.40843, False
