t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9990245, x -0.6449296, y -8.510468, z 49.26617, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.002691, x -0.6449296, y -8.510468, z 49.26617, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.007201, x -0.6450266, y -8.467469, z 49.27358, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.010988, x -0.6451232, y -8.424462, z 49.28095, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.015014, x -0.6881285, y -8.424461, z 49.28037, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.018941, x -0.6881285, y -8.424461, z 49.28037, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.02308, x -0.6882309, y -8.38145, z 49.2877, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.026933, x -0.6882309, y -8.38145, z 49.2877, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.030817, x -0.6882309, y -8.38145, z 49.2877, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.035208, x -0.6882309, y -8.38145, z 49.2877, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.038956, x -0.6883328, y -8.338429, z 49.295, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.042864, x -0.6883328, y -8.338429, z 49.295, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.047062, x -0.6884341, y -8.295404, z 49.30225, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.050931, x -0.6884341, y -8.295404, z 49.30225, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.054873, x -0.688535, y -8.252373, z 49.30947, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.05878, x -0.6886352, y -8.209334, z 49.31666, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.062733, x -0.6886352, y -8.209334, z 49.31666, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.06704, x -0.6886352, y -8.209334, z 49.31666, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.070958, x -0.688735, y -8.16629, z 49.3238, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.074981, x -0.6888342, y -8.12324, z 49.33091, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.078837, x -0.6890312, y -8.037119, z 49.34501, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.083051, x -0.6892259, y -7.950976, z 49.35896, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.086826, x -0.6892259, y -7.950976, z 49.35896, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.091031, x -0.6893225, y -7.907894, z 49.36588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.094738, x -0.6896092, y -7.778615, z 49.38641, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.099037, x -0.6898912, y -7.649283, z 49.4066, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.102977, x -0.6898912, y -7.649283, z 49.4066, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.10713, x -0.6899842, y -7.606161, z 49.41326, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.11086, x -0.6899842, y -7.606161, z 49.41326, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.115113, x -0.6901684, y -7.519898, z 49.42646, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.118816, x -0.6901684, y -7.519898, z 49.42646, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.123032, x -0.6905308, y -7.347305, z 49.4524, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.126784, x -0.6905308, y -7.347305, z 49.4524, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.131121, x -0.6907969, y -7.217802, z 49.47147, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.134779, x -0.6907969, y -7.217802, z 49.47147, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.138945, x -0.6908846, y -7.174623, z 49.47775, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.142864, x -0.6908846, y -7.174623, z 49.47775, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.151096, x -0.6913152, y -6.958646, z 49.50858, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.159166, x -0.6915671, y -6.828996, z 49.52662, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.16731, x -0.6918144, y -6.699301, z 49.54433, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.171021, x -0.6920569, y -6.569558, z 49.5617, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.175321, x -0.6920569, y -6.569558, z 49.5617, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
